Ticker,Security,GICS Sector,GICS Sub-Industry
FISV,Fiserv Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
CPAY,Corpay Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
PPL,PPL Corporation Common Stock,Utilities,Utilities
MRSH,Marsh Common Stock,Finance,Finance
ROK,Rockwell Automation Inc. Common Stock,Industrials,Industrials
MCO,Moody's Corporation Common Stock,Finance,Finance
DOV,Dover Corporation Common Stock,Industrials,Industrials
WM,Waste Management Inc. Common Stock,Utilities,Utilities
ED,Consolidated Edison Inc. Common Stock,Utilities,Utilities
A,Agilent Technologies Inc. Common Stock,Industrials,Industrials
CME,CME Group Inc. Class A Common Stock,Finance,Finance
NTAP,NetApp Inc. Common Stock,Technology,Technology
VMC,Vulcan Materials Company (Holding Company) Common Stock,Industrials,Industrials
