Ticker,Security,GICS Sector,GICS Sub-Industry
NVR,NVR Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
GEN,Gen Digital Inc. Common Stock,Technology,Technology
UDR,UDR Inc. Common Stock,Real Estate,Real Estate
IFF,International Flavors & Fragrances Inc. Common Stock,Industrials,Industrials
TRMB,Trimble Inc. Common Stock,Industrials,Industrials
MSCI,MSCI Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
AWK,American Water Works Company Inc. Common Stock,Utilities,Utilities
AVY,Avery Dennison Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
TER,Teradyne Inc. Common Stock,Industrials,Industrials
CDW,CDW Corporation Common Stock,Technology,Technology
AOS,A.O. Smith Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Finance
RVTY,Revvity Inc. Common Stock,Industrials,Industrials
TRGP,Targa Resources Inc. Common Stock,Utilities,Utilities
PNW,Pinnacle West Capital Corporation Common Stock,Utilities,Utilities
GL,Globe Life Inc. Common Stock,Finance,Finance
SNPS,Synopsys Inc. Common Stock,Technology,Technology
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,Finance,Finance
ALLE,Allegion plc Ordinary Shares,Consumer Discretionary,Consumer Discretionary
AIZ,Assurant Inc. Common Stock,Finance,Finance
XYL,Xylem Inc. Common Stock New,Industrials,Industrials
IT,Gartner Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
CBOE,Cboe Global Markets Inc. Common Stock,Finance,Finance
FRT,Federal Realty Investment Trust Common Stock,Real Estate,Real Estate
RJF,Raymond James Financial Inc. Common Stock,Finance,Finance
CSGP,CoStar Group Inc. Common Stock,Finance,Finance
CPT,Camden Property Trust Common Stock,Real Estate,Real Estate
CRL,Charles River Laboratories International Inc. Common Stock,Health Care,Health Care
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Technology
PTC,PTC Inc. Common Stock,Technology,Technology
HII,Huntington Ingalls Industries Inc. Common Stock,Industrials,Industrials
GNRC,Generac Holdlings Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
CASY,Casey's General Stores Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
BR,Broadridge Financial Solutions Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,Real Estate,Real Estate
ACGL,Arch Capital Group Ltd. Common Stock,Finance,Finance
TYL,Tyler Technologies Inc. Common Stock,Technology,Technology
VEEV,Veeva Systems Inc. Class A Common Stock,Technology,Technology
EPAM,EPAM Systems Inc. Common Stock,Technology,Technology
EVRG,Evergy Inc. Common Stock,Utilities,Utilities
LNT,Alliant Energy Corporation Common Stock,Utilities,Utilities
MAA,Mid-America Apartment Communities Inc. Common Stock,Real Estate,Real Estate
HUBB,Hubbell Inc Common Stock,Technology,Technology
IEX,IDEX Corporation Common Stock,Industrials,Industrials
ATO,Atmos Energy Corporation Common Stock,Utilities,Utilities
REG,Regency Centers Corporation Common Stock,Real Estate,Real Estate
ARE,Alexandria Real Estate Equities Inc. Common Stock,Real Estate,Real Estate
KEYS,Keysight Technologies Inc. Common Stock,Industrials,Industrials
CINF,Cincinnati Financial Corporation Common Stock,Finance,Finance
WRB,W.R. Berkley Corporation Common Stock,Finance,Finance
LYV,Live Nation Entertainment Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
TDY,Teledyne Technologies Incorporated Common Stock,Industrials,Industrials
JKHY,Jack Henry & Associates Inc. Common Stock,Technology,Technology
PODD,Insulet Corporation Common Stock,Health Care,Health Care
CPRT,Copart Inc. (DE) Common Stock,Consumer Discretionary,Consumer Discretionary
IBKR,Interactive Brokers Group Inc. Class A Common Stock,Finance,Finance
BRO,Brown & Brown Inc. Common Stock,Finance,Finance
SMCI,Super Micro Computer Inc. Common Stock,Technology,Technology
TECH,Bio-Techne Corp Common Stock,Health Care,Health Care
WST,West Pharmaceutical Services Inc. Common Stock,Health Care,Health Care
NDSN,Nordson Corporation Common Stock,Industrials,Industrials
FICO,Fair Isaac Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
NWS,News Corporation Class B Common Stock,Consumer Discretionary,Consumer Discretionary
POOL,Pool Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
MPWR,Monolithic Power Systems Inc. Common Stock,Technology,Technology
BLDR,Builders FirstSource Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
EME,EMCOR Group Inc. Common Stock,Industrials,Industrials
APO,Apollo Global Management Inc. (New) Common Stock,Finance,Finance
KDP,Keurig Dr Pepper Inc. Common Stock,Consumer Staples,Consumer Staples
LDOS,Leidos Holdings Inc. Common Stock,Technology,Technology
TKO,TKO Group Holdings Inc. Class A Common Stock,Consumer Discretionary,Consumer Discretionary
CRH,CRH PLC Ordinary Shares,Industrials,Industrials
FIX,Comfort Systems USA Inc. Common Stock,Industrials,Industrials
ROL,Rollins Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
SATS,EchoStar  Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
COHR,Coherent Corp. Common Stock,Technology,Technology
ERIE,Erie Indemnity Company Class A Common Stock,Finance,Finance
TPL,Texas Pacific Land Corporation Common Stock,Energy,Energy
ARES,Ares Management Corporation Class A Common Stock,Finance,Finance
SW,Smurfit WestRock plc Ordinary Shares,Consumer Discretionary,Consumer Discretionary
AMCR,Amcor plc Ordinary Shares,Consumer Discretionary,Consumer Discretionary
